no.,가수,곡 명,발매년도,계절,노래가사,성별
245,쿨,해변의 여인,1997.7.1,여름,와우 여름이다 !!! 이게뭐야 이여름에 방안에만 쳐박혀있어 안되겠어 우리 그냥 이쯤에서 헤어져버려 내품에서 흘린 눈물 너 만큼 나 힘이 들었어 잃어버린 너의 미소 찾을수 없을까 안녕하고 돌아서는 그건 아니잖아 사랑을 위한 여행을 하자 바닷가로 빨리 떠나자 야이 야이 야이 야이 바다로 그동안의 아픔들 그속에 모두 버리게 이게 아니야 우린 사랑했잖아 이젠 다신 눈물없는 사랑으로 만들어봐 우~~ Rap) 사랑하는 연인들이 바닷가를 걷고 난 쓸쓸히 바닷가를 혼자 걸어 갈때 너처럼 혼자걷는 여잘보겔 됐고 난 뒤를 하염없이 쫓아가게 됐어 어디갔어 이밤중에 도대체 난 이해가 안돼 여기까지 여행와서 나만 혼자 내 버려두니 해변에서 만난여인 많은 얘길 들려주었지 잃어버린 사랑으로 여기에 왔다고 돌아가면 나 역시도 혼자 될거라고 새벽이 오는 바다에 앉아 얘길 했지 해변의 여인 야이 야이 야이 야이 그녀와 떠오르는 태양을 우리는 함께 본거야 기다리지마 이제서야 만났어 이제다시 이별없는 사랑으로 만들꺼야 해변의 여인 너와 함께 다시 돌아가는 길에 보았지 예전의 그녀 멋진 자동차에 어떤 남자와 함께 있는걸,혼성
246,싸이,낙원,2002.9.19,사계절,너와 단 둘이서 떠나가는 여행 너를 향한 내마음 절대 안 변해 보고 또 봐도 또 다시 나 반해 꿈만 같애 우리 둘이 함께 우린서로 아무말도 없이 이렇다 할 행선지도 없이 빡빡한 저 세상 등지고 너와내가 나침반과 지도 하지 못했었던 말 한땐 다시 안본다 했었나 허나 지금 우리 둘만 이 차 속에 어느덧 훌쩍 지나버린 고개 비와바람도 세상과 사람도 우릴 막지 말라 우린 지금 빨라 우릴 갈라 놨던 속세 탈출하는 찰라 우린 지금 아주 빨라 난 너와 같은 차를 타고 난 너와같은 곳을 보고 난 너와 같이 같은 곳으로 그 곳은 천국일꺼야. 정신없이 달려온 곳 동해안 저 시원한 바다 소리가 곧 내맘 너 때문에 잠 못자고 꼬박 샌 밤 손발을 다 합쳐도 못샌다 말이 필요없는 거야 같이 있는거야 이제서야 밝히지만 내 주인은 너야 기분 좋아 둘이 장도 봐 밥은 내가 할께 쌀만 담궈 놔 피곤한지 너는 잠깐 자고 그 사이 나는 몰래 요리책을 파고 드디어 오붓하게 저녁식사를 하고 여기가 바로 지상 낙원 비와바람도 세상과 사람도 우릴 막지 말라 우린 이제 달라 나홀로 애태웠던 예전과는 달라 우린 이제 많이 달라 난 너와 같이 마주 하고 난 너와 같이 살아 숨쉬고 난 너와 같이 같은 곳에서 여기가 천국인거야 오~ 너로 인해 힘들었던 나의 어제가 술안주로 변해버린 오늘이구나 내 여자구나 이제 안보낸다 절대 안겨봐 내 품에 포근해 소중해 나중에 다시 돌아가더라도 오늘 하루 곱씹으며 행복하게 살어 나중에 다시 돌아가더라도 오늘 하루 곱씹으며 나를 잊지 말어,남
247,클론,꿍따리 샤바라,1996.5.1,여름,1.마음이 울적하고 답답할 땐 산으로 올라가 소릴 한번 질러봐 나처럼 이렇게 가슴을 펴고 꿍따리 샤바라 빠빠빠빠 누구나 세상을 살다 보면 마음먹은 대로 되지 않을 때가 있어 그럴땐 나처럼 노랠 불러봐 꿍따리 샤바라 빠빠빠빠 * 기쁨과 슬픔이 엇갈리고 좌절과 용기가 교차되고 만남과 이별을 나누면서 그렇게 우리는 살아가고 뜻대로 되지 않을 때도있고 마음먹은 대로 될 때도 있어 다 그런거야 누구나 세상은 그렇게 돌아가니까 다 그렇게 사는 거야 희비가 엇갈리는 세상속에서 내일이 다시 찾아오기에 우리는 희망을 안고 사는거야 마음대로 일이 되지않을 땐 하던 일을 멈추고 여행을 떠나봐 바다를 찾아가 소릴 질러봐 꿍따리 샤바라 빠빠빠빠 꿍따리 샤바라 빠빠빠 빠빠빠빠 빠빠빠빠 꿍따리 샤바라 빠빠빠 빠빠빠빠 빠빠빠빠 2.우울한 날이 계속 이어질 땐 신나는 음악에 신나게 춤을 춰봐 나처럼 이렇게 리듬에 맞춰 꿍따리 샤바라 빠빠빠빠 누구나 괴로운 일은 있는 것 한가지 생각에 너무 집착하지마 그럴땐 나처럼 툭툭 털면서 꿍따리 샤바라 빠빠빠 ,남
248,릴러말즈,Trip (Feat. Hannah),2018.11.16,사계절,배낭 메고 여행이나 갈까 머리도 식힐 겸 지금 말야 아무런 계획도 없이 나 혼자 여행이나 다녀오지 뭐 숨 좀 쉬고 싶어서 잠깐이면 돼 잠깐이면 눈 깜빡한 사이에 돌아올게 잠깐이면 돼 잠깐이면 잠깐이면 돼 잠깐 잠깐이면 돼 잠깐이면 해 뜨기 전까지 딱 돌아올게 잠깐이면 돼 잠깐이면 잠깐이면 돼 잠깐 잠깐 holup wait 머리는 아파 오는데 어디 잠깐 나를 달래줄 곳으로 여행이나 다녀오려 해 맛있는 거 멋있는 거 전부 느끼고 노래로 쓸게 바래졌던 나의 기억 속 잠들었던 그 추억 속에 나는 다섯 살 때쯤 일본에서 중학교 때쯤 유럽으로 대학 들어가곤 전 세계를 이제는 가고파 조용한 곳 맛있는 거 멋있는 거 전부 느끼고 노래로 쓸게 옆에는 yolin 비행기 표 다른 건 하나도 필요 없어 배낭 메고 여행이나 갈까 머리도 식힐 겸 지금 말야 아무런 계획도 없이 나 혼자 여행이나 다녀오지 뭐 숨 좀 쉬고 싶어서 잠깐이면 돼 잠깐이면 눈 깜빡한 사이에 돌아올게 잠깐이면 돼 잠깐이면 잠깐이면 돼 잠깐 잠깐이면 돼 잠깐이면 해 뜨기 전까지 딱 돌아올게 잠깐이면 돼 잠깐이면 잠깐이면 돼 잠깐 umm wait take me away 나도 떠나고 싶어 나도 느끼고 싶어 그 자유 그 여유 그거 누리고 싶어 여행 떠날래 너가 제일 잘 알잖아 돌아오고 싶지 않을지도 몰라 umm 만나볼래 새로운 사람 새로운 느낌 가보고 싶어 떠나고 싶어 이제는 떠나볼래 잠깐이면 돼 잠깐이면 눈 깜빡한 사이에 돌아올게 잠깐이면 돼 잠깐이면 잠깐이면 돼 잠깐 잠깐이면 돼 잠깐이면 해 뜨기 전까지 딱 돌아올게 잠깐이면 돼 잠깐이면 잠깐이면 돼 잠깐,남
249,비투비,봄날의 기억,2016.3.28,봄,차가운 계절은 지나고 봄이 또 찾아왔죠 이렇게 시린 겨울을 우린 잘 버텨냈네요 앞으로 해야 할 것들은 너무 넘쳐나지만 계절의 포근함으로 또 이겨내야죠 Remember that 아주 오랜 시간이 지나갔죠 어제의 추억이 내일은 그저 잊혀지기를 힘겨운 발걸음을 옮기죠 봄날의 밤공기를 마시며 봄바람에 내 맘을 달래보다 습관처럼 걸었던 거리에는 아픈 계절의 향기만 남아 그녀가 자꾸만 자꾸만 생각이나 눈물이 나네요 눈물만 나네요 Remember that 오랜 시간 얼었던 땅도 녹아 내리고 계절의 반복 그 속에 미련인지 알 수 없는 지금 기분은 시간을 되돌려 줘 음 지금 난 그때로 돌아와 있어 때 맞춰 떠나던 여행처럼 썩 나쁘지 않은 기분 하지만 또 뭉클해지는 가슴이 말하는 메시지는 I wanna give you my love Beautiful days 그 아름다운 날들이 지나가죠 오늘의 기억에 내일은 그저 웃을 수 있게 오늘도 발걸음을 옮기죠 봄날의 밤 공기를 마시며 봄바람에 내 맘을 달래보다 습관처럼 걸었던 거리에는 아픈 계절의 향기만 남아 그녀가 자꾸만 자꾸만 생각이나 눈물이 나네요 Remember that road we used to walk down on the Way to your home girl Do you remember that? 봄이 올 때마다 꽃이 피는 것처럼 이 길 걸을 때마다 네 생각나 girl 봄날의 밤 공기를 마시며 봄바람에 내 맘을 달래보다 습관처럼 걸었던 거리에는 필름처럼 봄날의 기억이 이제와 자꾸만 자꾸만 생각이나 눈물이 나네요 안녕 봄아 넌 여전히 예쁘구나 이 향기도 바람도 스며있는 포근함 흘러간 시간이 무색할 만큼 그대로인데 왜인지 난 작년의 봄 앞에 머문다 눈물이나 주책 맞게 더 없이 해맑게 나를 안아주는 햇살이 고마워 너도 어딘가에서 이 봄을 느끼고 있겠지 아마 Remember that,남
250,장민호,남자는 말합니다,2013.5.16,사계절,여행 갑시다 나의 여자여 하나 뿐인 나의 여자여 상처투성이 병이 들어 버린 당신 여행가서 낫게 하리다 나란 사람 하나만 믿고 같이 살아온 바보 같이 착한 사람아 남자는 말합니다 고맙구요 감사해요 오직 나만 아는 사람아 안아봅시다 나의 여자여 하나 뿐인 나의 여자여 고운 얼굴에 쓰여진 슬픈 이야기 오늘 밤에 지워 봅시다 나란 사람 하나만 믿고 같이 살아온 바보 같이 착한 사람아 남자는 말합니다 고맙구요 감사해요 오직 나만 아는 사람아 나란 사람 하나만 믿고 같이 살아온 바보 같이 착한 사람아 남자는 말합니다 고맙구요 감사해요 오직 나만 아는 사람아 오로지 나만 아는 사람아,남
251,"SOLE(쏠),?THAMA",Google Map (Feat. Don Mills),2020.10.28,사계절,I can feel it 숨이 막힌다 난 떠날래 이대로 안돼 다 feel me? 바다 넘어 가고파 yo 내 자리 창가에 what you like for drink? 아 저는 그냥 샴페인 got 10 minutes to land (어디로) 엊그제만 같아 구름위를 날았던 기억 damn too far 추억속으로 여행을 가 yeah 음음 ooh ooh 떠나지 못해서 노래해 떠날 수 없어서 노래나 해 이 모든 게 지나가길 바라 서러운데 그냥 노래나 해 아무 걱정 없이 난 떠나고 싶은데 ye ye 언제 다시 우리가 되돌아갈 수 있을까 호텔보단 BnB 우린 아직 젊기에 바로 짐을 푼 뒤 모여 몇 분 뒤에 날씨는 up and down 맛집으로 그냥 가 구글맵으로 봤던 기억 damn too far (RAP) 거실로 나와 티비나봐 소파 엉덩이 붙이고 자연스럽던 일상 이걸 얼마나 바라던 건지 몰라 허탈함 가득한 빈 공간 채워준 친구들 띠동갑 얼마전까지 창문 밖에서 손 흔들기만 하던 손잡아 핑계를 대지만 가벼운 지갑 날 무겁게 만들지 어두운 표정으로 괜히 또 물지 이쯤 되니까 내가 선택한 게 맞는 건가 멈춰진 내 발 책상이라도 있다면 주먹으로 시원하게 내려치고 싶은 마음 그렇게라도 제발 더도 말고 희망이나마 가질 수 있던 때로 어디로 떠나지 않아도 돼 떠나지 못하고 부르는 노래 바라지 보이지 않는 끝이 나오기를 간절히 떠나지 못해서 노래해 떠날 수 없어서 노래나 해 이 모든 게 지나가길 바라 서러운데 그냥 노래나 해 떠나지 못해서 노래해 떠날 수 없어서 노래나 해 이 모든 게 지나가길 바라 서러운데 그냥 노래나 해,혼성
252,NCT U,Coming Home,2019.12.13,겨울,내 시간은 멈춰 있어 우는 널 두고 돌아섰을 때 마지막 인사조차도 없었던 나에게 지칠 때면 돌아와 쉬라던 말 네 그 마음 눈이 오던 그 길로 한참을 왔을 때 돌아보면 너는 거기 있는 걸 여행이 끝날 때쯤 난 알게 될 거야 그때처럼 널 가슴에 가득 안고 I’m coming home 어둠이 날 반겨 길을 잃은 채 헤매고 있을 때 이 길의 끝에 만난 건 너라는 등불이 내 곁에서 언제나 빛나던 사실 You light of my life uh 눈이 오던 이 길로 한참을 왔어도 돌아보면 나를 향해 있는 너 내 시간이 다 해도 난 네 곁에 올 거야 습관처럼 따뜻했던 내 집으로 Yeah Yeah 잘 왔다고 말해준 너의 그 말 Yeah 눈이 오던 그 길로 한참을 왔을 때 돌아보면 너는 거기 있는 걸 여행이 끝날 때쯤 난 알게 될 거야 그때처럼 가슴에 가득 안고 습관처럼 묻지도 않고 다시 곁으로 I’m coming home Hoo,남
253,오왼,초대,2020.10.8,사계절,"기분 좋은 밤이야 오늘도 I’m feeling myself 내 영혼은 사랑이야 내일도 Gonna feel myself 내성적인 너를 초대할 게 Baby welcome to my world 이 분위기에 넌 곧 전염돼 근심 걱정 없이 go work it, twerk 오늘 보여줄 게 서울의 밤 Or I can take you down to Busan tmrw I can show you how it’s done tonight I can introduce you to my life style So baby don’t you worry ’bout a thing Cus we’re still young and when it rains It clears out after so we can do whatever Do whatever Go wherever And it don’t matter Whenever whenever You want it baby 기분 좋은 밤이야 오늘도 I’m feeling myself 내 영혼은 사랑이야 내일도 Gonna feel myself 내성적인 너를 초대할 게 Baby welcome to my world 이 분위기에 넌 곧 전염돼 근심 걱정 없이 go work it, twerk 순수한 사람 원하면 다 이루어진다는 상상 나와 함께 해볼래? 내 손 잡아 빨리 가볼까 악셀을 밟아 skrrt 챙겨 너의 여행 가방 목적지는 인천 공항 LA 또는 가자 NYC So I can show you what I've seen 걱정을 내려놔 Everything is fine We got plenty of time Whoa whoa whoa whoa 고민들 말아놔 We gon smoke 'em all tonight I ain't gonna lie 뭐든 가능하니까 I'm gonna drive yeah 말리부 향해 Babe welcome to LA 아름다운 공기 drinking Belaire Palm trees in the light yeah 별들에게 얼른 인사해 취한 분위기 take you higher 나와 떠나 영원한 비행 기분 좋은 밤이야 오늘도 I’m feeling myself 내 영혼은 사랑이야 내일도 Gonna feel myself 내성적인 너를 초대할 게 Baby welcome to my world 이 분위기에 넌 곧 전염돼 근심 걱정 없이 go work it, twerk Baby just grant me the pass 어느새 난 아무렇게 네 마음 가시밭 담을 넘네 I be smooth with it 그래도 지켜 난 수위를 눈치 보지 말고 Let your body just move with it 오늘 밤 펼쳐 너의 상상을 현실로 보여줄 게 가능하면 Wine and dining on a silver platter 화려한 life style이 너무 익숙해 넌 oh God! So tonight I be feeling myself You're pulling me real close 너를 구해줄 손을 잡네 손바닥에 땀이 나도록 Mmm baby girl can you do me a favor 내려와 네가 준비가 되면 어둠 끝까지 춤이나 당겨 나를 보는 너의 눈이 너무 예뻐 You a danger, I better be careful 기분 좋은 밤이야 오늘도 I’m feeling myself 내 영혼은 사랑이야 내일도 Gonna feel myself 내성적인 너를 초대할 게 Baby welcome to my world 이 분위기에 넌 곧 전염돼 근심 걱정 없이 go work it, twerk",남
254,개리,또 하루 (Feat. 개코),2015.12.31,사계절,나 홀로 외로워진 밤에 모든 게 버거워진 밤에 I love you I need you You 네가 필요해 나 홀로 술 취한 이 밤에 모든 게 그리워진 밤에 I love you I need you You 네가 필요해 어김없이 찾아오는 아침의 80% 개운치 않아 다시 또 시작하는 하루는 어제와 같은 카피고 이어폰 속 최신 곡을 흥얼거리며 이 도시 속 최고를 꿈꿔 온몸으로 난 나쁜 기운까지 다 느껴 어릴 때부터 온갖 압박들에 다 단련된 난 한국사람 돈이 없음 불행한 것이 훨씬 더 많아 위에서는 눌러 아래서는 치고 올라 어디를 가나 하라면 해 싫으면 관두든가 다 인간관계? 몰라 난 그런 거 싫으면 안 해 두려워 할 것 없어 모든 게 다 똑같아 어차피 경쟁 피곤한 언쟁은 필요 없어 그냥 내 옆에 마음 맞는 몇 사람과 함께 즐길 술과 음악만 있으면 돼 나 홀로 외로워진 밤에 모든 게 버거워진 밤에 I love you I need you You 네가 필요해 나 홀로 술 취한 이 밤에 모든 게 그리워진 밤에 I love you I need you You 네가 필요해 오늘도 밤새 일하며 눈에 불 켜 마치 편의점 간판 기분으로 말하자면 초여름 장마 곧 끝이 나고 또 많은 것을 얻겠지 아마 돈 아니면 욕 뭐든 상관없어 그래도 일할 수 있는 것이 내 행복 늘 머리 속엔 여행 생각 이번 휴가 어딜 갈까 유럽부터 동남 아시아 5월 부터 비키니 고르는 그녀 맘같이 설레 집에 가기 전에 술이나 한잔 할까 친구에게 전화를 거네 뭔가 별일 있는 건 아니고 그냥 잠깐 얼굴이나 보고 가면 어떨까 커피 한잔이라도 아님 술을 마셔도 뭐든 난 좋으니까 잠깐만 나와 우린 성공해야 해 아니 행복해야 해 우린 성공해야 해 아니 행복해야 해 나 홀로 외로워진 밤에 모든 게 버거워진 밤에 I love you I need you You 네가 필요해 나 홀로 술 취한 이 밤에 모든 게 그리워진 밤에 I love you I need you 네가 필요해 ,남
255,스텔라장,YOLO,2019.7.5,사계절,You only live once You only live once You only live once You only live once 언젠가 한 번쯤은 해보고 싶었어 계획 없이 떠나는 여행 반복되는 하루들이 지겨워져서 오늘을 내게 선물하기로 해 yeah 열심히 살아왔잖아 이 정도의 사치는 부려도 되잖아 창밖의 밝은 별 하나 어서 가자 저기 멀리 저 불빛을 따라 You only live once 오늘이 지나면 You only live once 다시 돌아가겠지 You only live once 그래도 하루만큼은 나를 You only live once 위해 살고 싶어 오늘만큼은 애벌레가 아닌 Butterfly Brand new day is calling now 어디든 좋아 나랑 너랑 우리 다 오늘은 모두 잊자 기차에 몸을 실어봐 어때 의자에 등을 기대봐 절대 후회는 하지 않을 거야 번데기는 나비가 될 거야 열심히 살아왔잖아 이 정도의 사치는 부려도 되잖아 창밖의 밝은 별 하나 어서 가자 저기 멀리 저 불빛을 따라 You only live once 오늘이 지나면 You only live once 다시 돌아가겠지 You only live once 그래도 하루만큼은 나를 You only live once 위해 살고 싶어 You only live once 오늘이 지나면 You only live once 다시 돌아가겠지 You only live once 그래도 하루만큼은 나를 You only live once 위해 살고 싶어 You will be you’ll be okay You will be you’ll be you’ll be okay You will be you’ll be okay You will be you’ll be you’ll be okay You will be you’ll be okay You will be you’ll be you’ll be okay You will be you’ll be okay You will be you’ll be you’ll be okay,여
256,박효신,HAPPY TOGETHER,2014.11.24,사계절,세상을 몰랐었던 마냥 웃기만 했던 푸른 하늘 닮은 꿈을 가진 키 작은 꼬마가 어느새 담을 넘는다 언덕위로 좁게 트인 [그 작은 길 따라] 어디로 가는 걸까? 작은 돌에 그만 넘어져도 일어나 다시 그 길 따라 걸어보렴 좀 더디면 어때? 어디든 좋아 한걸음씩 so happy together 너의 손을 잡고서 너와 발을 맞추며 가자 we are dancing together 서두르진 마 조금 익숙한 멜로디를 불러봐 루루루 루루루 너를 위한 멜로디 루루루 루루루 누구도 상상 못할 내일이 또 오겠지? 소나기에 자라난 무지개를 빌려다 포켓 속에 가득 꼭 넣어두렴 주문을 외워 it’s gonna be alright! 한걸음씩 so happy together 너의 손을 잡고서 너와 발을 맞추며 가자 we are dancing together 서두르진 마 이제 익숙한 멜로디를 불러봐 루루루 루루루 너를 위한 멜로디 루루루 루루루 하늘아래 누워 잠깐 쉬어가도 돼 눈을 감아도 보이는 너를 닮은 별 찾아 고맙다는 인사를 건넨다 그게 바로 너야 한걸음 더 so happy together 다시 밝아온 아침 머나먼 여행을 떠나자 we belong together 혼자가 아냐 영원히 너를 위해 불러줄 이 멜로디 루루루 루루루 우릴 위한 멜로디 루루루 루루루 지금 내 앞에 있는 내가 찾던 세상...,남
257,악동뮤지션,MY DARLING,2017.7.20,여름,My darling Can I call you darling Darling darling darling 아직은 꿈만 같은 걸 내가 오래도록 꿈꾸던 그대와 Woo play like woo 밤새 파티를 열어볼까 봐요 둠바둠바둠바둠바둠바둠바웨 둠바둠바둠바둠바둠바둠바웨 앵두 같은 입술이 달린 달린 달린 달린 어여쁜 그대 얼굴이 내 두 눈을 집어삼켜 버리곤 Woo swallow woo 책임져 아주 혼내줘야겠어요 눈 깜빡하면 사라질 듯이 실감이 안 나는 걸 That’s right You are my baby 이젠 내 사랑 My darling 평생 내 옆자리에서 웃어요 행복한 기분이 샘솟아 눈물이 다 나올 때까지 오 달님 반짝이는 달님 달님 달님 달님 혹시 이게 꿈이라면 수면제를 입에 먹여서라도 Woo I said woo 이 밤이 끝나지 않게 해줘요 둠바둠바둠바둠바둠바둠바웨 둠바둠바둠바둠바둠바둠바웨 가만히 거울 보고 있자니 어떻게 내가 짝이라니 남은 너의 반평생 재밌게 해줄게 노래 여행 보드게임 다 퍼주고 모시고 받들게 Oh God 날 내버려 두지 말아 I’m gonna do it over 침대 뻥뻥 차고 함박웃음 지을 거니까 귀찮게 종일 매달릴 거임 우리 사진에는 댓글이 달릴 거임 상대가 아깝고 도둑놈이라고 해도 현실은 배 아플 거니까 눈 깜빡하면 사라질 듯이 아직도 모르겠는 걸 That’s right You are my baby 이젠 내 사랑 My darling 평생 내 옆자리에서 웃어요 행복한 기분이 샘솟아 눈물이 다 이젠 내 사랑 My darling 평생 나의 곁에서 머물러요 사랑의 감정이 샘솟아 눈물이 다 나올때까지 둠바둠바둠바둠바둠바둠바웨 둠바둠바둠바둠바둠바둠바웨 둠바둠바둠바둠바둠바둠바웨 둠바둠바둠바둠바둠바둠바웨,혼성
258,안예은,문어의 꿈,2020.2.25,사계절,나는 문어 꿈을 꾸는 문어 꿈속에서는 무엇이든지 될 수 있어 나는 문어 잠을 자는 문어 잠에 드는 순간 여행이 시작되는 거야 높은 산에 올라가면 나는 초록색 문어 장미 꽃밭 숨어들면 나는 빨간색 문어 횡단보도 건너가면 나는 줄무늬 문어 밤하늘을 날아가면 나는 오색찬란한 문어가 되는 거 야 아아아 아아 야 아아아 아아 깊은 바닷속은 너무 외로워 춥고 어둡고 차갑고 때로는 무섭기도 해 애애애 애애 야 아아아 아아 그래서 나는 매일 꿈을 꿔 이곳은 참 우울해 단풍놀이 구경 가면 나는 노란색 문어 커피 한 잔 마셔주면 나는 진갈색 문어 주근깨의 꼬마와 놀면 나는 점박이 문어 밤하늘을 날아가면 나는 오색찬란한 문어가 되는 거 야 아아아 아아 야 아아아 아아 깊은 바닷속은 너무 외로워 춥고 어둡고 차갑고 때로는 무섭기도 해 애애애 애애 야 아아아 아아 그래서 나는 매일 꿈을 꿔 이곳은 야 아아아 아아 야 아아아 아아 깊은 바닷속은 너무 외로워 춥고 어둡고 차갑고 때로는 무섭기도 해 애애애 애애 야 아아아 아아 그래서 나는 매일 꿈을 꿔 이곳은 참 우울해,여
259,이선균,바다여행,2007.7.23,여름,아주 머언 어느 날 이 햇살은 아름다운 너에게로 떠났던 내 여행을 기억해줘 아주 머언 바닷가 저 하늘가 어딘가에 너와 나의 소중한 추억들을 간직해줘.. 눈부시게 푸르른 너는 내게 바다인걸 손 내밀면 하얗게 부서지던 너의 꿈들.. 여행을 떠나려 해 아주 깊은 바다여행 부드런 은빛 물결 몸을 싣고 너에게로 눈부시게 푸르른 너는 내게 바다인걸 손 내밀면 하얗게 부서지던 너의 미소 너도 알아 내가 널 아주 많이 사랑하는 포근하게 감싸줘.. 나에게...,남
260,NCT 127,Summer 127,2017.6.14,여름,"핸들에 몸을 맡겨 Baby 저 바다로, 저 바다로, Let it go 선명히 날 깨우는 파도 You feel me now, You feel me right, Let it go 볼륨을 올려줘 더 크게 너 땜에 설레는 맘 감추게 아무 말도 안 해도 괜찮아 떨어지지 않아도 돼 함께 하자 day &amp; night 아무도 모르게 멀리 떠나볼래 뜨거운 바다로 로 로 설레는 이 느낌, 널 찾은 난 Lucky 너와 함께 I just wanna dance with you 뜨거운 태양아래 맘 이끌리는데로 빠져들어 저 멀리 푸른 바다 위로 그 곳으로 Jump On (Baby) 너도 같은 기분이지 가볼까 (더 멀리) 다른 곳 (신나는 곳 Oh) 마치 내일은 없게 Oh (다 잊고서 잠시 잊고서) 태양보다 뜨거운 맘 아무도 모르게 멀리 떠나볼래 뜨거운 바다로 로 로 설레는 이 느낌, 널 찾은 난 Lucky 너와 함께 I just wanna dance with you 뜨거운 태양아래 맘 이끌리는데로 빠져들어 저 멀리 푸른 바다 위로 그 곳으로 Jump On (Baby) Get it on, get get get it on (dance) Get it on, get get get it on (dance) Get it on, get get get it on (dance) Get it on, get get get get it on 돌아가야 하는 끝에서 새로운 여행을 만나 너와 함께하는 순간 Girl, I just wanna dance with you Come on Double step that's why 우리는 몸으로 세련미를 구사해 유사해 (like this) Rocking에 Popping을 더해 Krumping (shake that ass) 이미 움직이고 있어 너의 twerking (yeah yeah yeah) ah bad ass 건강해지는 move야 physical fitness 잠깐만 멈춰봐 숨이 차 Talk to me eye 나와 넌 don't stop it Eyes are locked how it starts good baby 가까이 있을 때만 되는 stepping 밤이 내일까지 이어가게 손 안 놓지 춤출 때 특히 내 목에 올려줘 너의 손 서로 균형같이 찾아 close Hold on Slippery floor 위 아무도 내 주위엔You only I just wanna dance with you 뜨거운 태양아래 맘 이끌리는데로 빠져들어 저 멀리 푸른 바다 위로 그 곳으로 Jump On (Baby) Get it on, get get get it on (dance) Get it on, get get get it on (dance) Get it on, get get get it on (dance) Get it on, get get get get it on",남
261,쿨,맥주와 땅콩,2000.4.1,여름,맥주처럼 새하얀 거품의 파도 모아논 어느 작은 섬 우리는 돛을 내려 투명한 아침 햇살은 삼페인처럼 터지고 더 이상 행복할수는 없을 것 같아 지금 우리 밤이면 후 라디오에선 먼 메아리처럼 사랑의 노래 너의 입속에 내 가슴에도 부푼 그 말은 사랑해 너를 언제까지나 oh Happy summer summer 너의 눈속에 쏟아진 별처럼 영원의 시간까지 너의 작은 어깨 기대면 텐트 속 어둠은 바다가 되지 나의 summer summer 하늘마저도 질투가 날만큼 너만을 사랑해 천국은(천국은) 가까이(가까이) 사랑하는 내 안에 있어 투명한 유리잔에 퍼 울리면 황금빛 와인이 되는 가슴에 담으면 모든것이 행복이 되는 천국처럼 common babe love me babe 사랑해 사랑해 나는 너를 사랑해 무박 이일 둘 만의 기차여행에 어느새 들뜬 우리는 새처럼 자유롭지 가벼운 농담만으로 유리알처럼 뒹구는 해맑은 웃음 소리에 행복이 벌써 가득한걸 밤이면 후 라디오에선 먼 메아리처럼 사랑의 노래 너의 입속에 내 가슴에도 부푼 그 말은 사랑해 너를 언제까?惻?oh happy summer summer 너의 눈속에 쏟아진 별처럼 영원의 시간까지 너의 작은 어깨 기대면 텐트 속 어둠은 바다가 되지 나의 summer summer 하늘마저도 질투가 날만큼 너만을 사랑해 천국은 (천국은) 가까이 (가까이) 사랑하는 내안에 있어 둘만의 천국에서,혼성
262,가을방학,세상은 한 장의 손수건,2020.9.1,사계절,그대와 함께 둘이서 함께 떠나고 싶어라 그대와 함께 멀리 떠날 때 하늘은 맑아라 비바람 불 땐 옆에 있을게 내 손 꼭 잡고 있어요 그대와 함께 둘이서 함께 햇살이 멎는 곳까지 우리 눈앞에 세상은 한 장의 손수건 같아 그대와 함께 펼쳐 날리리 삶의 첫 번째 것들이 아직도 산더미 같아 그대와 함께 채워나가고 싶어 편한 옷 편한 신발 내 맘에 꼭 맞는 것들 가능한 짐은 가볍게 근데 빠뜨리진 마 그 모든 것들 함께 해줄 사람 그대와 함께 둘이서 함께 떠나고 싶어라 그대와 함께 멀리 떠날 때 하늘은 맑아라 비바람 불 땐 옆에 있을게 내 손 꼭 잡고 있어요 그대와 함께 둘이서 함께 햇살이 멎는 곳까지 그대와 듣고 싶은 노래가 많고 많아서 어쩌죠 몇 박 며칠 가지곤 어림도 없죠 내 플레이리스트는 여행의 끝엔 둘이서 함께 머물고 싶어라 낮잠이 덜 깬 채로 그렇게 뒹굴고 싶어라 꽃피는 봄과 별 헤는 밤과 수많은 달력 낱장을 그대와 함께 둘이서 함께 오오 그대와 함께 둘이서 함께 떠나고 싶어라 그대와 함께 멀리 떠날 때 하늘은 맑아라 비바람 불 땐 옆에 있을게 내 손 꼭 잡고 있어요 그대와 함께 둘이서 함께 햇살이 멎는 곳까지 (그대와 함께 둘이서 함께) 햇살이 멎는 곳까지 (그대와 함께 둘이서 함께) 햇살이 멎는 곳까지 ,혼성
